Table 1
No,Date,Num of comments on 30 posts,Score on 30 posts,Positive Sentiment,Negative Sentiment,P/N,Sentiment Score,Open,High,Low,Close,Volume,Market Cap,Bitcoin dominance
120,2017-11-29,11142,117324,19,12,1.5833333333333333,7,"10,077.40","11,517.40","9,601.03","9,888.61","11,568,799,744","168,366,702,592",53.63
121,2017-11-30,10065,70503,136,87,1.5632183908045978,49,"9,906.79","10,801.00","9,202.05","10,233.60","8,310,689,792","165,537,480,704",56.13
122,2017-12-01,5830,25826,91,33,2.757575757575758,58,"10,198.60","11,046.70","9,694.65","10,975.60","6,783,119,872","170,435,903,488",55.86
123,2017-12-02,5697,45267,87,48,1.8125,39,"10,978.30","11,320.20","10,905.10","11,074.60","5,138,500,096","183,489,593,344",56.15
124,2017-12-03,6095,29338,95,30,3.1666666666666665,65,"11,082.70","11,858.70","10,862.00","11,323.20","6,608,309,760","185,258,246,144",56.30
125,2017-12-04,5613,25948,158,68,2.323529411764706,90,"11,315.40","11,657.20","11,081.80","11,657.20","6,132,409,856","189,172,383,744",56.00
126,2017-12-05,6955,27062,84,53,1.5849056603773586,31,"11,685.70","12,032.00","11,604.60","11,916.70","6,895,260,160","195,389,161,472",55.59
127,2017-12-06,10445,43202,91,65,1.4,26,"11,923.40","14,369.10","11,923.40","14,291.50","12,656,300,032","199,390,003,200",55.79
128,2017-12-07,15086,67822,75,28,2.6785714285714284,47,"14,266.10","17,899.70","14,057.30","17,899.70","17,950,699,520","238,599,536,640",60.82
129,2017-12-08,7529,30450,231,95,2.431578947368421,136,"17,802.90","18,353.40","14,336.90","16,569.40","21,135,998,976","297,786,572,800",66.52
130,2017-12-09,7001,35357,186,90,2.066666666666667,96,"16,523.30","16,783.00","13,674.90","15,178.20","13,911,300,096","276,415,348,736",62.52
131,2017-12-10,6362,36640,150,130,1.1538461538461537,20,"15,168.40","15,850.60","13,226.60","15,455.40","13,433,299,968","253,781,737,472",60.87
132,2017-12-11,8491,53884,145,57,2.543859649122807,88,"15,427.40","17,513.90","15,404.80","16,936.80","12,153,900,032","258,146,762,752",62.80
133,2017-12-12,5875,29499,89,56,1.5892857142857142,33,"16,919.80","17,781.80","16,571.60","17,415.40","14,603,799,552","283,154,612,224",61.89
134,2017-12-13,10144,57401,55,17,3.235294117647059,38,"17,500.00","17,653.10","16,039.70","16,408.20","12,976,900,096","292,900,372,480",58.47
135,2017-12-14,6526,34141,297,142,2.091549295774648,155,"16,384.60","17,085.80","16,185.90","16,564.00","13,777,399,808","274,268,504,064",55.91
136,2017-12-15,6814,26338,124,37,3.3513513513513513,87,"16,601.30","18,154.10","16,601.30","17,706.90","14,309,999,616","277,935,587,328",53.02
137,2017-12-16,5683,29993,60,28,2.142857142857143,32,"17,760.30","19,716.70","17,515.30","19,497.40","12,740,599,808","297,375,760,384",55.34
138,2017-12-17,5554,29182,148,78,1.8974358974358974,70,"19,475.80","20,089.00","18,974.10","19,140.80","13,314,599,936","326,141,280,256",56.28
139,2017-12-18,4826,23877,59,23,2.5652173913043477,36,"19,106.40","19,371.00","18,355.90","19,114.20","14,839,499,776","320,000,294,912",54.51
140,2017-12-19,9184,35591,202,82,2.4634146341463414,120,"19,118.30","19,177.80","17,275.40","17,776.70","16,894,499,840","320,242,253,824",51.79
141,2017-12-20,12873,45262,70,40,1.75,30,"17,760.30","17,934.70","16,077.70","16,624.60","22,149,699,584","297,526,394,880",48.24
142,2017-12-21,7210,27261,152,29,5.241379310344827,123,"16,642.40","17,567.70","15,342.70","15,802.90","16,516,599,808","278,826,811,392",44.94
143,2017-12-22,14258,115036,142,59,2.406779661016949,83,"15,898.00","15,943.40","11,833.00","13,831.80","22,197,999,616","266,381,426,688",43.44
144,2017-12-23,4605,51603,21,9,2.3333333333333335,12,"13,948.70","15,603.20","13,828.80","14,699.20","13,086,000,128","233,747,824,640",44.36
145,2017-12-24,5370,42287,314,153,2.052287581699346,161,"14,608.20","14,626.00","12,747.70","13,925.80","11,572,299,776","244,823,687,168",43.23
146,2017-12-25,5622,40523,153,61,2.5081967213114753,92,"13,995.90","14,593.00","13,448.90","14,026.60","10,664,699,904","234,589,569,024",43.36
147,2017-12-26,5560,25194,214,66,3.242424242424242,148,"14,036.60","16,461.20","14,028.90","16,099.80","13,454,300,160","235,294,408,704",42.31
148,2017-12-27,5604,37915,335,141,2.375886524822695,194,"16,163.50","16,930.90","15,114.30","15,838.50","12,487,600,128","270,976,270,336",44.90
149,2017-12-28,5275,17358,194,82,2.3658536585365852,112,"15,864.10","15,888.40","13,937.30","14,606.50","12,336,499,712","265,988,489,216",44.30
150,2017-12-29,3248,18720,38,18,2.111111111111111,20,"14,695.80","15,279.00","14,307.00","14,656.20","13,025,500,160","246,427,598,848",43.09
151,2017-12-30,5655,22533,57,28,2.0357142857142856,29,"14,681.90","14,681.90","12,350.10","12,952.20","14,452,599,808","246,223,912,960",40.00
152,2017-12-31,4039,16398,241,91,2.6483516483516483,150,"12,897.70","14,377.40","12,755.60","14,156.40","12,136,299,520","216,325,586,944",38.65
153,2018-01-01,3369,23700,202,29,6.9655172413793105,173,"14,112.2","14,112.2","13,154.7","13,657.2","10,291,200,000","236,724,797,440",38.62
154,2018-01-02,3518,20952,113,67,1.6865671641791045,46,"13,625","15,444.6","13,163.6","14,982.1","16,846,600,192","228,578,836,480",37.13
155,2018-01-03,3522,23114,68,15,4.533333333333333,53,"14,978.2","15,572.8","14,844.5","15,201","16,871,900,160","251,311,702,016",37.32
156,2018-01-04,3372,18765,110,47,2.3404255319148937,63,"15,270.7","15,739.7","14,522.2","15,599.2","21,783,199,744","256,250,429,440",34.67
157,2018-01-05,5326,32809,229,92,2.489130434782609,137,"15,477.2","17,705.2","15,202.8","17,429.5","23,840,899,072","259,747,708,928",34.38
158,2018-01-06,3920,50205,325,101,3.217821782178218,224,"17,462.1","17,712.4","16,764.6","17,527","18,314,600,448","293,090,852,864",37.53
159,2018-01-07,5088,22463,66,36,1.8333333333333333,30,"17,527.3","17,579.6","16,087.7","16,477.6","15,866,000,384","294,222,364,672",36.09
160,2018-01-08,4633,24914,76,20,3.8,56,"16,476.2","16,537.9","14,208.2","15,170.1","18,413,899,776","276,611,596,288",33.39
161,2018-01-09,3304,23528,212,48,4.416666666666667,164,"15,123.7","15,497.5","14,424","14,595.4","16,659,999,744","253,935,419,392",34.30
162,2018-01-10,4312,23067,77,34,2.264705882352941,43,"14,588.5","14,973.3","13,691.2","14,973.3","18,500,800,512","244,980,531,200",33.46
163,2018-01-11,3697,25953,180,42,4.285714285714286,138,"14,968.2","15,018.8","13,105.9","13,405.8","16,534,099,968","251,387,068,416",34.23
164,2018-01-12,4923,31008,224,90,2.488888888888889,134,"13,453.9","14,229.9","13,158.1","13,980.6","12,065,699,840","225,986,084,864",33.92
165,2018-01-13,3306,16798,242,78,3.1025641025641026,164,"13,952.4","14,659.5","13,952.4","14,360.2","12,763,599,872","234,391,027,712",32.66
166,2018-01-14,3907,17915,93,43,2.1627906976744184,50,"14,370.8","14,511.8","13,268","13,772","11,084,099,584","241,446,797,312",32.44
167,2018-01-15,2712,20599,38,15,2.533333333333333,23,"13,767.3","14,445.5","13,641.7","13,819.8","12,750,799,872","231,334,150,144",32.81
168,2018-01-16,9342,66671,83,53,1.5660377358490567,30,"13,836.1","13,843.1","10,194.9","11,490.5","18,853,799,936","232,517,451,776",34.05
169,2018-01-17,6926,31853,94,25,3.76,69,"11,431.1","11,678","9,402.29","11,188.6","18,830,600,192","192,123,404,288",35.83
170,2018-01-18,4330,18324,58,24,2.4166666666666665,34,"11,198.8","12,107.3","10,942.5","11,474.9","15,020,399,616","188,241,526,784",34.76
171,2018-01-19,3493,18922,88,34,2.588235294117647,54,"11,429.8","11,992.8","11,172.1","11,607.4","10,740,400,128","192,149,700,608",34.11
172,2018-01-20,3293,14331,213,67,3.1791044776119404,146,"11,656.2","13,103","11,656.2","12,899.2","11,801,700,352","195,978,788,864",34.08
173,2018-01-21,3298,22202,42,7,6.0,35,"12,889.2","12,895.9","11,288.2","11,600.1","9,935,179,776","216,740,282,368",34.37
174,2018-01-22,5250,15886,120,58,2.0689655172413794,62,"11,633.1","11,966.4","10,240.2","10,931.4","10,537,400,320","195,644,588,032",34.74
175,2018-01-23,3497,14747,53,7,7.571428571428571,46,"10,944.5","11,377.6","10,129.7","10,868.4","9,660,609,536","184,087,085,056",34.68
176,2018-01-24,3501,14614,72,37,1.945945945945946,35,"10,903.4","11,501.4","10,639.8","11,359.4","9,940,989,952","183,418,601,472",34.73
177,2018-01-25,3780,18598,95,52,1.8269230769230769,43,"11,421.7","11,785.7","11,057.4","11,259.4","8,873,169,920","192,162,840,576",34.43
178,2018-01-26,2754,21283,55,39,1.4102564102564104,16,"11,256","11,656.7","10,470.3","11,171.4","9,746,199,552","189,397,811,200",34.42
179,2018-01-27,3062,14203,168,79,2.1265822784810124,89,"11,174.9","11,614.9","10,989.2","11,440.7","7,583,269,888","188,054,274,048",34.51
180,2018-01-28,3449,21455,42,17,2.4705882352941178,25,"11,475.3","12,040.3","11,475.3","11,786.3","8,350,360,064","193,133,117,440",34.37
181,2018-01-29,4171,18987,93,28,3.3214285714285716,65,"11,755.5","11,875.6","11,179.2","11,296.4","7,107,359,744","197,870,944,256",33.24
182,2018-01-30,4490,26531,69,37,1.864864864864865,32,"11,306.8","11,307.2","10,036.2","10,106.3","8,637,859,840","190,339,072,000",33.36
183,2018-01-31,4918,51343,34,6,5.666666666666667,28,"10,108.2","10,381.6","9,777.42","10,221.1","8,041,160,192","170,183,426,048",33.84
184,2018-02-01,6554,27885,104,61,1.7049180327868851,43,"10,237.3","10,288.8","8,812.28","9,170.54","9,959,400,448","172,372,410,368",33.33
185,2018-02-02,5682,18531,56,46,1.2173913043478262,10,"9,142.28","9,142.28","7,796.49","8,830.75","12,726,899,712","153,952,600,064",33.87
186,2018-02-03,3559,23457,23,9,2.5555555555555554,14,"8,852.12","9,430.75","8,251.63","9,174.91","7,263,790,080","149,085,257,728",34.99
187,2018-02-04,4121,55102,54,26,2.076923076923077,28,"9,175.7","9,334.87","8,031.22","8,277.01","7,073,549,824","154,553,286,656",34.56
188,2018-02-05,8355,31406,60,22,2.727272727272727,38,"8,270.54","8,364.84","6,756.68","6,955.27","9,285,289,984","139,324,735,488",35.26
189,2018-02-06,3509,25657,28,15,1.8666666666666667,13,"7,051.75","7,850.7","6,048.26","7,754","13,999,800,320","118,809,837,568",35.94
190,2018-02-07,4350,21045,45,6,7.5,39,"7,755.49","8,509.11","7,236.79","7,621.3","9,169,280,000","130,683,248,640",35.22
191,2018-02-08,3663,11733,102,40,2.55,62,"7,637.86","8,558.77","7,637.86","8,265.59","9,346,750,464","128,714,047,488",35.89
192,2018-02-09,3549,27342,48,11,4.363636363636363,37,"8,271.84","8,736.98","7,884.71","8,736.98","6,784,820,224","139,411,996,672",35.32
